"Monat",   "Tmax",   "Tmin",      "RF",       "Ra",     "Sa",      "St",      "v2"
"Jan",       2.7,      -2.2,      90.7,     388.8,      0.32,      1.92,      0.33
"Feb",       3.8,      -1.8,      86.7,     354.2,      1.55,      4.17,      0.51
"Mar",       7.2,       0.4,      84.1,     406.1,      2.51,      7.53,      0.91
"Apr",      11.9,       3.0,      79.4,     371.5,      4.60,     12.68,      1.63
"Mai",      17.0,       7.2,      75.7,     337.0,      6.26,     17.04,      2.62
"Jun",      20.2,      10.4,      73.6,     319.7,      6.50,     18.38,      3.29
"Jul",      21.4,      12.2,      80.1,     319.7,      5.68,     16.83,      2.98
"Aug",      21.6,      11.9,      81.7,     293.8,      5.59,     14.69,      2.59
"Sep",      18.0,       9.4,      84.0,     319.7,      3.77,      9.80,      1.71
"Okt",      13.3,       6.3,      86.7,     337.0,      2.17,      5.47,      0.98
"Nov",       7.6,       2.5,      90.6,     440.6,      0.64,      2.47,      0.52
"Dez",       4.0,      -0.7,      90.7,     449.3,      0.05,      1.43,      0.38
